emcal pbgl / pbsc pi0 cross sections, Justin/Christian's pbsc were averaged with no reduction of errors then a weighted average between pbsc/pbgl (with corresponding error reduction)
pt err_pt	 val	 tot_err	 stat_err	 syst_err	 ccuncorr_toterr	 pTcorr_err
1.25 0.05	 0.0717343	 0.0127364	 0.00629023	 0.0110747	 0.00882883	 0.00762376	 
1.75 0.05	 0.0122791	 0.0022191	 0.00109574	 0.00192971	 0.00151316	 0.0013391	 
2.25 0.05	 0.00262881	 0.000484732	 0.000241292	 0.000420408	 0.000324355	 0.000293989	 
2.75 0.05	 0.000716924	 0.00013527	 6.85097e-05	 0.000116638	 8.85677e-05	 8.21674e-05	 
3.25 0.05	 0.000234603	 4.54787e-05	 2.36958e-05	 3.88178e-05	 2.90186e-05	 2.75398e-05	 
3.75 0.05	 6.30271e-05	 1.24605e-05	 6.54521e-06	 1.06031e-05	 7.80566e-06	 7.57375e-06	 
4.25 0.05	 3.02247e-05	 6.13617e-06	 3.30756e-06	 5.16843e-06	 3.74787e-06	 3.71596e-06	 
4.75 0.05	 1.26989e-05	 2.67695e-06	 1.51548e-06	 2.20667e-06	 1.57661e-06	 1.59653e-06	 
5.25 0.05	 4.48436e-06	 1.04774e-06	 6.86317e-07	 7.91663e-07	 5.57441e-07	 5.76241e-07	 
5.75 0.05	 2.45339e-06	 5.88378e-07	 3.90726e-07	 4.39911e-07	 3.05353e-07	 3.22075e-07	 
6.25 0.05	 1.68716e-06	 4.20788e-07	 2.87568e-07	 3.07193e-07	 2.10246e-07	 2.26173e-07	 
6.75 0.05	 5.09818e-07	 1.40783e-07	 1.04589e-07	 9.42378e-08	 6.36096e-08	 6.97601e-08	 
7.25 0.05	 3.80532e-07	 1.10209e-07	 8.39576e-08	 7.13937e-08	 4.75373e-08	 5.31266e-08	 
7.75 0.05	 1.43427e-07	 8.10494e-08	 7.63615e-08	 2.71651e-08	 1.78567e-08	 2.05101e-08	 
8.25 0.05	 2.26091e-07	 1.04224e-07	 9.49393e-08	 4.30025e-08	 2.79222e-08	 3.32354e-08	 
