emcal pbgl / pbsc pi0 cross sections, Justin/Christian's pbsc were averaged with no reduction of errors then a weighted average between pbsc/pbgl (with corresponding error reduction)
pt err_pt	 val	 tot_err	 stat_err	 syst_err	 ccuncorr_toterr	 pTcorr_err
1.25 0.05	 0.170679	 0.0302193	 0.0147943	 0.0263502	 0.0210067	 0.0182123	 
1.75 0.05	 0.0292895	 0.00528678	 0.00260055	 0.00460295	 0.00360936	 0.00320569	 
2.25 0.05	 0.00638338	 0.00117686	 0.000585543	 0.00102085	 0.000787611	 0.000716167	 
2.75 0.05	 0.00162556	 0.000306209	 0.000154343	 0.000264466	 0.000200819	 0.000186835	 
3.25 0.05	 0.000490457	 9.412e-05	 4.76757e-05	 8.11518e-05	 6.06658e-05	 5.77167e-05	 
3.75 0.05	 0.00017272	 3.36898e-05	 1.70501e-05	 2.90568e-05	 2.13907e-05	 2.07994e-05	 
4.25 0.05	 6.52226e-05	 1.31354e-05	 6.93881e-06	 1.11531e-05	 8.0876e-06	 8.03325e-06	 
4.75 0.05	 2.0302e-05	 4.24867e-06	 2.36757e-06	 3.52786e-06	 2.52057e-06	 2.55623e-06	 
5.25 0.05	 1.16676e-05	 2.53458e-06	 1.47695e-06	 2.05979e-06	 1.45038e-06	 1.50109e-06	 
5.75 0.05	 4.41412e-06	 1.2264e-06	 9.36807e-07	 7.91485e-07	 5.49388e-07	 5.80004e-07	 
6.25 0.05	 2.38833e-06	 7.14441e-07	 5.66853e-07	 4.3486e-07	 2.97623e-07	 3.20373e-07	 
6.75 0.05	 1.82389e-06	 5.45351e-07	 4.28654e-07	 3.3714e-07	 2.27566e-07	 2.49663e-07	 
7.25 0.05	 5.93772e-07	 2.14864e-07	 1.8373e-07	 1.11401e-07	 7.41759e-08	 8.29074e-08	 
7.75 0.05	 2.42679e-07	 1.26932e-07	 1.18318e-07	 4.59633e-08	 3.02135e-08	 3.47031e-08	 
8.25 0.05	 1.96879e-07	 9.57428e-08	 8.81161e-08	 3.74464e-08	 2.43146e-08	 2.89412e-08	 
8.75 0.05	 1.22531e-07	 6.93308e-08	 6.52613e-08	 2.34035e-08	 1.50101e-08	 1.85022e-08	 
9.25 0.05	 1.42564e-07	 7.41446e-08	 6.89184e-08	 2.73437e-08	 1.73215e-08	 2.20974e-08	 
9.75 0.05	 1.06249e-07	 6.57816e-08	 6.25177e-08	 2.04636e-08	 1.2803e-08	 1.68936e-08	 
