emcal pbgl / pbsc pi0 cross sections, Justin/Christian's pbsc were averaged with no reduction of errors then a weighted average between pbsc/pbgl (with corresponding error reduction)
pt err_pt	 val	 tot_err	 stat_err	 syst_err	 ccuncorr_toterr	 pTcorr_err
1.25 0.05	 3.26	 0.59965	 0.326	 0.503294	 0.401231	 0.356218	 
1.75 0.05	 0.586833	 0.10692	 0.0540991	 0.092223	 0.0723158	 0.0656124	 
2.25 0.05	 0.113911	 0.021221	 0.0108845	 0.018217	 0.0140549	 0.0130253	 
2.75 0.05	 0.0254971	 0.00488031	 0.002571	 0.00414818	 0.00314987	 0.00298022	 
3.25 0.05	 0.00637372	 0.00124497	 0.000661639	 0.00105461	 0.00078838	 0.000761169	 
3.75 0.05	 0.00195999	 0.000397878	 0.000222677	 0.000329731	 0.000242737	 0.000239043	 
4.25 0.05	 0.0006628	 0.000135224	 7.37557e-05	 0.000113339	 8.21872e-05	 8.25186e-05	 
4.75 0.05	 0.00024466	 4.99651e-05	 2.62494e-05	 4.25144e-05	 3.03755e-05	 3.10813e-05	 
5.25 0.05	 0.000115101	 2.39349e-05	 1.26485e-05	 2.03198e-05	 1.4308e-05	 1.49145e-05	 
5.75 0.05	 5.17837e-05	 1.09209e-05	 5.74907e-06	 9.28521e-06	 6.44508e-06	 6.84142e-06	 
6.25 0.05	 2.78342e-05	 5.96133e-06	 3.13897e-06	 5.06797e-06	 3.46857e-06	 3.74798e-06	 
6.75 0.05	 1.12951e-05	 2.46158e-06	 1.30394e-06	 2.08785e-06	 1.40928e-06	 1.5496e-06	 
7.25 0.05	 7.12977e-06	 1.58041e-06	 8.41651e-07	 1.33765e-06	 8.90673e-07	 9.96248e-07	 
7.75 0.05	 3.99288e-06	 9.16333e-07	 5.17446e-07	 7.56251e-07	 4.97113e-07	 5.70981e-07	 
8.25 0.05	 1.9034e-06	 4.69194e-07	 2.98462e-07	 3.62027e-07	 2.3507e-07	 2.798e-07	 
8.75 0.05	 1.59213e-06	 3.84614e-07	 2.35485e-07	 3.04097e-07	 1.95036e-07	 2.40412e-07	 
9.25 0.05	 1.01265e-06	 2.51301e-07	 1.59461e-07	 1.94227e-07	 1.23037e-07	 1.56961e-07	 
9.75 0.05	 1.1501e-06	 2.80122e-07	 1.7147e-07	 2.21509e-07	 1.38587e-07	 1.82866e-07	 
10.25 0.05	 4.24811e-07	 1.18654e-07	 8.57503e-08	 8.20098e-08	 5.09986e-08	 6.84159e-08	 
10.75 0.05	 3.40835e-07	 9.79459e-08	 7.25226e-08	 6.58322e-08	 4.09513e-08	 5.49255e-08	 
11.25 0.05	 2.99467e-07	 8.74209e-08	 6.55228e-08	 5.78721e-08	 3.6011e-08	 4.82891e-08	 
11.75 0.05	 2.51165e-07	 7.55299e-08	 5.78483e-08	 4.85627e-08	 3.02277e-08	 4.05254e-08	 
12.25 0.05	 1.088e-07	 6.18086e-08	 5.81146e-08	 2.10474e-08	 1.3105e-08	 1.75658e-08	 
12.75 0.05	 5.51082e-08	 4.17094e-08	 4.03225e-08	 1.06662e-08	 6.64329e-09	 8.90272e-09	 
13.25 0.05	 5.53794e-08	 4.19188e-08	 4.05238e-08	 1.07242e-08	 6.68152e-09	 8.95208e-09	 
13.75 0.05	 2.95073e-08	 3.05664e-08	 3.00269e-08	 5.71704e-09	 3.56301e-09	 4.7728e-09	 
14.25 0.05	 3.13169e-08	 3.24426e-08	 3.18696e-08	 6.07078e-09	 3.78465e-09	 5.06864e-09	 
