emcal pbgl / pbsc pi0 cross sections, Justin/Christian's pbsc were averaged with no reduction of errors then a weighted average between pbsc/pbgl (with corresponding error reduction)
pt err_pt	 val	 tot_err	 stat_err	 syst_err	 ccuncorr_toterr	 pTcorr_err
1.25 0.05	 1.56858	 0.278162	 0.13686	 0.242164	 0.193056	 0.170057	 
1.75 0.05	 0.285168	 0.0514894	 0.0253525	 0.0448153	 0.0351415	 0.0316598	 
2.25 0.05	 0.0580672	 0.010717	 0.00534965	 0.00928629	 0.0071646	 0.00659807	 
2.75 0.05	 0.0140193	 0.00266032	 0.00136934	 0.00228084	 0.00173193	 0.00162954	 
3.25 0.05	 0.00375985	 0.00072709	 0.000376349	 0.000622111	 0.000465065	 0.000446828	 
3.75 0.05	 0.00118922	 0.000232962	 0.000119357	 0.000200063	 0.00014728	 0.000144429	 
4.25 0.05	 0.000432477	 8.5991e-05	 4.38785e-05	 7.39536e-05	 5.36272e-05	 5.36512e-05	 
4.75 0.05	 0.00015932	 3.22732e-05	 1.65862e-05	 2.7685e-05	 1.97802e-05	 2.01799e-05	 
5.25 0.05	 6.77363e-05	 1.39236e-05	 7.13235e-06	 1.19581e-05	 8.42014e-06	 8.75622e-06	 
5.75 0.05	 3.60858e-05	 7.55324e-06	 3.89675e-06	 6.47046e-06	 4.49129e-06	 4.75885e-06	 
6.25 0.05	 1.63517e-05	 3.50424e-06	 1.84814e-06	 2.97726e-06	 2.03767e-06	 2.19902e-06	 
6.75 0.05	 8.47722e-06	 1.84781e-06	 9.79272e-07	 1.56698e-06	 1.0577e-06	 1.16214e-06	 
7.25 0.05	 5.08862e-06	 1.12333e-06	 5.91964e-07	 9.54703e-07	 6.35686e-07	 7.10863e-07	 
7.75 0.05	 2.8781e-06	 6.55562e-07	 3.64162e-07	 5.45112e-07	 3.58324e-07	 4.11568e-07	 
8.25 0.05	 1.47316e-06	 3.67195e-07	 2.37325e-07	 2.80195e-07	 1.81935e-07	 2.16554e-07	 
8.75 0.05	 1.1678e-06	 2.96201e-07	 1.94894e-07	 2.23051e-07	 1.43056e-07	 1.76338e-07	 
9.25 0.05	 6.72104e-07	 1.71285e-07	 1.12787e-07	 1.2891e-07	 8.16606e-08	 1.04176e-07	 
9.75 0.05	 5.47371e-07	 1.42713e-07	 9.61916e-08	 1.05424e-07	 6.59582e-08	 8.70321e-08	 
10.25 0.05	 3.83567e-07	 1.05928e-07	 7.57468e-08	 7.40477e-08	 4.60473e-08	 6.17735e-08	 
10.75 0.05	 1.29955e-07	 6.77699e-08	 6.295e-08	 2.51008e-08	 1.56141e-08	 2.09423e-08	 
11.25 0.05	 1.02502e-07	 5.22201e-08	 4.83173e-08	 1.98085e-08	 1.23258e-08	 1.65284e-08	 
11.75 0.05	 1.51685e-07	 7.83178e-08	 7.26191e-08	 2.93282e-08	 1.82553e-08	 2.44743e-08	 
