emcal pbgl / pbsc pi0 cross sections, Justin/Christian's pbsc were averaged with no reduction of errors then a weighted average between pbsc/pbgl (with corresponding error reduction)
pt err_pt	 val	 tot_err	 stat_err	 syst_err	 ccuncorr_toterr	 pTcorr_err
1.25 0.05	 2.09556	 0.368378	 0.176172	 0.323521	 0.257914	 0.228084	 
1.75 0.05	 0.399254	 0.0677928	 0.0256711	 0.0627443	 0.0492004	 0.0444827	 
2.25 0.05	 0.0803673	 0.0139568	 0.00544092	 0.0128526	 0.00991608	 0.00916084	 
2.75 0.05	 0.0190027	 0.00338738	 0.00138435	 0.00309159	 0.00234756	 0.00221495	 
3.25 0.05	 0.00480286	 0.000875021	 0.000366241	 0.000794688	 0.000594077	 0.000572176	 
3.75 0.05	 0.00156921	 0.000287972	 0.000115054	 0.00026399	 0.000194341	 0.000190981	 
4.25 0.05	 0.000530579	 9.95213e-05	 4.08992e-05	 9.0729e-05	 6.57918e-05	 6.59392e-05	 
4.75 0.05	 0.000197322	 3.77263e-05	 1.57347e-05	 3.42884e-05	 2.44982e-05	 2.50303e-05	 
5.25 0.05	 9.02666e-05	 1.75692e-05	 7.39839e-06	 1.59355e-05	 1.12208e-05	 1.16826e-05	 
5.75 0.05	 3.96699e-05	 7.86429e-06	 3.35419e-06	 7.11312e-06	 4.93738e-06	 5.23626e-06	 
6.25 0.05	 1.81015e-05	 3.74403e-06	 1.77624e-06	 3.29587e-06	 2.25573e-06	 2.43589e-06	 
6.75 0.05	 1.16655e-05	 2.38146e-06	 1.01076e-06	 2.15632e-06	 1.45549e-06	 1.59982e-06	 
7.25 0.05	 5.87357e-06	 1.24546e-06	 5.80372e-07	 1.10197e-06	 7.33744e-07	 8.20618e-07	 
7.75 0.05	 2.97047e-06	 6.4824e-07	 3.22005e-07	 5.62608e-07	 3.69824e-07	 4.24778e-07	 
8.25 0.05	 2.02171e-06	 4.50724e-07	 2.35137e-07	 3.8453e-07	 2.49681e-07	 2.97192e-07	 
8.75 0.05	 1.2222e-06	 2.86224e-07	 1.65619e-07	 2.33441e-07	 1.4972e-07	 1.84553e-07	 
9.25 0.05	 9.83446e-07	 2.30452e-07	 1.32396e-07	 1.88625e-07	 1.19489e-07	 1.52434e-07	 
9.75 0.05	 4.61821e-07	 1.19845e-07	 8.03198e-08	 8.89467e-08	 5.56495e-08	 7.34296e-08	 
