emcal pbgl / pbsc pi0 cross sections, Justin/Christian's pbsc were averaged with no reduction of errors then a weighted average between pbsc/pbgl (with corresponding error reduction)
pt err_pt	 val	 tot_err	 stat_err	 syst_err	 ccuncorr_toterr	 pTcorr_err
1.25 0.05	 1.0061	 0.177752	 0.086426	 0.155327	 0.123828	 0.108646	 
1.75 0.05	 0.178435	 0.0321854	 0.0157974	 0.0280417	 0.0219887	 0.0197399	 
2.25 0.05	 0.0375937	 0.00693126	 0.00344921	 0.00601211	 0.00463849	 0.00425821	 
2.75 0.05	 0.00936306	 0.00176673	 0.000894926	 0.0015233	 0.0011567	 0.00108527	 
3.25 0.05	 0.00244258	 0.000472209	 0.000244216	 0.000404153	 0.000302128	 0.000289571	 
3.75 0.05	 0.000809025	 0.000158059	 8.03649e-05	 0.000136103	 0.000100195	 9.80476e-05	 
4.25 0.05	 0.000304834	 6.02723e-05	 3.02582e-05	 5.21267e-05	 3.77995e-05	 3.77487e-05	 
4.75 0.05	 0.000112676	 2.29811e-05	 1.20322e-05	 1.95796e-05	 1.39891e-05	 1.42506e-05	 
5.25 0.05	 5.59775e-05	 1.14672e-05	 5.81712e-06	 9.88219e-06	 6.95844e-06	 7.22756e-06	 
5.75 0.05	 2.49568e-05	 5.22303e-06	 2.69348e-06	 4.47495e-06	 3.10617e-06	 3.28822e-06	 
6.25 0.05	 1.01407e-05	 2.23236e-06	 1.25472e-06	 1.84638e-06	 1.26368e-06	 1.36288e-06	 
6.75 0.05	 6.29163e-06	 1.36862e-06	 7.21512e-07	 1.16298e-06	 7.85001e-07	 8.62195e-07	 
7.25 0.05	 3.97013e-06	 8.83604e-07	 4.75333e-07	 7.44858e-07	 4.95962e-07	 5.54546e-07	 
7.75 0.05	 1.73131e-06	 4.03571e-07	 2.35254e-07	 3.27911e-07	 2.15549e-07	 2.47578e-07	 
8.25 0.05	 1.37189e-06	 3.25657e-07	 1.94849e-07	 2.60933e-07	 1.69428e-07	 2.01668e-07	 
8.75 0.05	 9.22995e-07	 2.2647e-07	 1.42161e-07	 1.76292e-07	 1.13067e-07	 1.39372e-07	 
9.25 0.05	 5.90814e-07	 1.53385e-07	 1.03372e-07	 1.13318e-07	 7.17839e-08	 9.15762e-08	 
9.75 0.05	 3.6636e-07	 1.02134e-07	 7.38412e-08	 7.05609e-08	 4.41464e-08	 5.82512e-08	 
10.25 0.05	 2.76829e-07	 8.11865e-08	 6.11164e-08	 5.34418e-08	 3.32333e-08	 4.45833e-08	 
10.75 0.05	 2.02383e-07	 6.25168e-08	 4.87883e-08	 3.90903e-08	 2.43163e-08	 3.2614e-08	 
11.25 0.05	 7.59567e-08	 4.83476e-08	 4.60654e-08	 1.46786e-08	 9.1338e-09	 1.2248e-08	 
11.75 0.05	 1.24441e-07	 6.48892e-08	 6.02635e-08	 2.40606e-08	 1.49765e-08	 2.00785e-08	 
12.25 0.05	 5.12937e-08	 3.87936e-08	 3.75031e-08	 9.92277e-09	 6.17833e-09	 8.28137e-09	 
12.75 0.05	 2.51665e-08	 3.62265e-08	 3.58976e-08	 4.87098e-09	 3.03383e-09	 4.06565e-09	 
13.25 0.05	 2.60201e-08	 2.69427e-08	 2.64673e-08	 5.03879e-09	 3.13933e-09	 4.20615e-09	 
