emcal pbgl / pbsc pi0 cross sections, Justin/Christian's pbsc were averaged with no reduction of errors then a weighted average between pbsc/pbgl (with corresponding error reduction)
pt err_pt	 val	 tot_err	 stat_err	 syst_err	 ccuncorr_toterr	 pTcorr_err
1.25 0.05	 0.0349584	 0.00628349	 0.00321779	 0.00539704	 0.00430257	 0.00370036	 
1.75 0.05	 0.00583059	 0.00107366	 0.00055958	 0.0009163	 0.000718508	 0.000633566	 
2.25 0.05	 0.00133641	 0.000250989	 0.000131598	 0.000213723	 0.000164893	 0.000148976	 
2.75 0.05	 0.000311948	 6.07252e-05	 3.33442e-05	 5.07515e-05	 3.85375e-05	 3.56513e-05	 
3.25 0.05	 0.000102096	 2.05362e-05	 1.16773e-05	 1.6893e-05	 1.26285e-05	 1.19553e-05	 
3.75 0.05	 3.38057e-05	 6.71974e-06	 3.57924e-06	 5.68717e-06	 4.18671e-06	 4.05366e-06	 
4.25 0.05	 1.27202e-05	 2.6806e-06	 1.56662e-06	 2.17516e-06	 1.57731e-06	 1.56105e-06	 
4.75 0.05	 6.14495e-06	 1.34341e-06	 8.15203e-07	 1.0678e-06	 7.6292e-07	 7.71402e-07	 
5.25 0.05	 2.98267e-06	 7.11791e-07	 4.78942e-07	 5.26556e-07	 3.70769e-07	 3.82814e-07	 
5.75 0.05	 1.06402e-06	 2.91417e-07	 2.20283e-07	 1.90786e-07	 1.32429e-07	 1.39554e-07	 
6.25 0.05	 3.26779e-07	 1.42287e-07	 1.2925e-07	 5.9499e-08	 4.07217e-08	 4.37787e-08	 
6.75 0.05	 2.80711e-07	 1.2279e-07	 1.11288e-07	 5.18884e-08	 3.50241e-08	 3.83963e-08	 
7.25 0.05	 2.23276e-07	 1.02554e-07	 9.36085e-08	 4.18901e-08	 2.78924e-08	 3.11681e-08	 
7.75 0.05	 8.47128e-08	 5.3744e-08	 5.12931e-08	 1.60446e-08	 1.05467e-08	 1.21139e-08	 
8.25 0.05	 7.71245e-08	 4.89487e-08	 4.6699e-08	 1.46691e-08	 9.52488e-09	 1.13373e-08	 
